2026-03-18 11:37:06,餐饮美食,好想**店,syd***@163.com,好想你MISSYOU60g特级去皮去核枣脱皮虎纹免洗红枣煲汤打豆浆零食,支出,12.28,中信银行信用卡(6963),交易成功,2026031823001132981426204143	,T200P2701755195035114989	,,
2026-03-18 11:37:06,母婴亲子,so**店,hzb***@126.com,【优惠价】【新客尝鲜8.9】solove米菲来了百草抑菌桃叶精华纸尿拉拉裤5片装,支出,6.77,中信银行信用卡(6963),交易关闭,2026031823001132981426938884	,T200P2701755195035088161	,,
2026-03-17 18:45:37,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026031722001432981421965702	,202603171483536158832623618	,,
2026-03-15 17:46:55,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026031522001432981406321723	,202603151482796533122158594	,,
2026-03-14 19:24:37,酒店旅游,飞猪**店,tjd***@service.aliyun.com,全季酒店23城180店199元1晚通兑券,支出,199.00,中信银行信用卡(6963),交易关闭,2026031423001132981404924380	,T200P2701723695010023788	,,
2026-03-13 15:49:34,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,5.20,中信银行信用卡(6963),交易成功,2026031323001432981452204032	,0064N202603130000000014752373288	,,
2026-03-13 15:27:52,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.79,中信银行信用卡(6963),交易成功,2026031322001432981455305093	,0064N202603130000000014736423564	,,
2026-03-12 21:28:02,母婴亲子,12**正,123***@qq.com,新生儿床单纯棉a类婴儿床上用品宝宝1.5m被单单件幼儿园儿童睡单,支出,70.20,中信银行信用卡(6963),交易关闭,2026031223001132981452467216	,T200P2701710914063023788	,,
2026-03-12 21:28:02,母婴亲子,睡眠**店,zha***@jfhome.com.cn,【配件链接】睡眠方程式垫片1cm搭配使用调节高度（不是枕头）,支出,58.00,中信银行信用卡(6963),交易成功,2026031223001132981452489974	,T200P2701710914063032970	,,
2026-03-11 17:53:19,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,17.86,建设银行信用卡(0796),交易成功,2026031123001432981443813549	,202603111481348740595482626	,,
2026-03-11 12:40:31,商业服务,杭州闲鱼信息技术有限公司,xys***@service.aliyun.com,分账-基础软件服务费(2701703031021006062)扣款,支出,1.29,,交易成功,2026031110032004780238754458	,	,,
2026-03-08 18:41:37,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026030822001432981429367957	,202603081480261089754775554	,,
2026-03-06 19:37:01,文化休闲,北京大麦文化传媒发展有限公司,pia***@alibaba-inc.com,大麦网演出赛事票品,支出,1980.00,中信银行信用卡(6963),交易关闭,2026030623001432981419004065	,11190600726030640506915436791	,,
2026-03-06 13:42:52,生活服务,淘天物流科技有限公司,ttw***@service.aliyun.com,闲鱼寄件-寄件费_1809528549_LP00801942114389,支出,14.20,余额宝,交易成功,2026030623001432981418320552	,CN_V1_602511783328030526	,,
2026-03-06 13:05:31,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,8.48,中信银行信用卡(6963),交易成功,2026030622001432981415111011	,0064N202603060000000014685611060	,,
2026-03-06 11:48:49,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.79,中信银行信用卡(6963),交易成功,2026030622001432981416223541	,0064N202603060000000014712440276	,,
2026-03-05 15:27:58,酒店旅游,抖音生活服务商家,cds***@bytedance.com,新春专享特惠活动票大小同价即买即用一票畅玩,支出,56.00,中信银行信用卡(6963),交易关闭,2026030523001432981414401548	,2001052603050103432057539318	,,
2026-03-05 08:17:51,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.71,中信银行信用卡(6963),交易成功,2026030523001432981411639351	,0064N202603050000000014640588149	,,
2026-03-03 18:45:16,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026030323001432981400512079	,202603031478462719419645954	,,
2026-03-03 08:45:13,充值缴费,中国电信,dzq***@chinatelecom-ec.com.cn,为18990149330话费充值,支出,0.01,中信银行信用卡(6963)&红包,交易成功,2026030322001432981400584057	,2026030300003100009869932973	,,
2026-03-03 08:35:14,交通出行,高德打车,aut***@service.aliyun.com,高德打车订单,支出,4.90,中信银行信用卡(6963),交易成功,2026030322001432981403552910	,0001N202603030000000014611181068	,,
2026-03-03 08:32:26,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,11.00,中信银行信用卡(6963),交易成功,2026030323001432981400590716	,0064N202603030000000014636546363	,,
2026-03-02 18:30:49,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026030223001432981400439044	,202603021478096570198872066	,,
2026-03-02 06:51:36,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,13.84,中信银行信用卡(6963),交易成功,2026030222001432981451286824	,0064N202603020000000014589630476	,,
2026-03-01 14:06:58,餐饮美食,抖音生活服务商家,cds***@bytedance.com,时光里I迎新春贺岁特惠票,支出,74.00,中信银行信用卡(6963),交易关闭,2026030122001432981454570250	,2001052603010103415596404884	,,
2026-02-28 15:47:29,商业服务,杭州闲鱼信息技术有限公司,xys***@service.aliyun.com,分账-基础软件服务费(4502058193073002509)扣款,支出,0.78,,交易成功,2026022810032004780224761239	,	,,
2026-02-28 14:41:36,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,喜茶(德阳洋洋广场店)外卖订单,支出,3.00,中信银行信用卡(6963),交易成功,2026022822001132981449576770	,13140600726022890434202386432	,,
2026-02-26 12:31:54,餐饮美食,安琪**店,bak***@angelyeast.com,安琪耐高糖型酵母5g做馒头面包专用干酵母粉家用小包装烘焙发酵粉,支出,5.00,中信银行信用卡(6963),交易成功,2026022623001132981440002714	,T200P3262472115442524985	,,
2026-02-26 12:31:54,母婴亲子,to**店,308***@qq.com,【活动价】TOI图益儿童进阶拼图3到6岁益智玩具宝宝拼图2到6岁以上儿童玩具,支出,30.40,中信银行信用卡(6963),交易成功,2026022623001132981440434356	,T200P3262472115441524985	,,
2026-02-24 11:04:43,商业服务,杭州闲鱼信息技术有限公司,xys***@service.aliyun.com,分账-基础软件服务费(3254621304849471471)扣款,支出,0.90,,交易成功,2026022410032004070217723069	,	,,
2026-02-24 11:03:31,生活服务,淘天物流科技有限公司,ttw***@service.aliyun.com,闲鱼寄件-寄件费_1809528549_LP00799623360581,支出,20.00,余额宝,交易成功,2026022422001432981429804571	,CN_V1_602495359843870513	,,
2026-02-22 14:46:40,日用百货,山姆会员商店,/,Alipay2602221446404500431000174,支出,119.10,中信银行信用卡(6963),交易成功,2026022223001432981417657489	,30P2088621807340104W03_2602221446404500431000174	,,
2026-02-20 13:49:56,餐饮美食,un**店,tan***@163.com,【U先试用】Uncle Tom未碱化原生纯低脂可可粉5条装无添加糖25g,支出,6.86,中信银行信用卡(6963),支付成功,20260220300000015632981210992112	,T200P3239745816860524985	,,
2026-02-20 10:09:29,餐饮美食,va**店,rod***@valrhona-selection.com,【优惠价】法芙娜原料法国进口耐高温巧克力粒纯可可脂黑巧克力耐烤水滴豆,支出,81.00,中信银行信用卡(6963),支付成功,20260220300000014132981210665148	,T200P3239213127336524985	,,
2026-02-16 14:07:00,商业服务,杭州闲鱼信息技术有限公司,xys***@service.aliyun.com,分账-基础软件服务费(3244728757142479191)扣款,支出,0.95,,交易成功,2026021610032004730230634999	,	,,
2026-02-15 23:45:17,母婴亲子,贝亲**店,bei***@leqee.com,【活动价】Haberman哈伯曼婴儿PPSU奶瓶学饮直饮吸管水杯贝亲官方旗舰店正品,支出,25.46,余额宝,交易成功,2026021523001132981447641487	,T200P3249887845366524985	,,
2026-02-15 23:44:29,母婴亲子,贝亲**店,bei***@leqee.com,【活动价】Haberman哈伯曼婴儿PPSU奶瓶学饮直饮吸管水杯贝亲官方旗舰店正品,支出,25.46,中信银行信用卡(6963),交易关闭,2026021523001132981447627638	,T200P3249430790685524985	,,
2026-02-14 19:07:25,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026021422001432981444038654	,202602141472307676969562114	,,
2026-02-14 10:40:15,生活服务,淘天物流科技有限公司,ttw***@service.aliyun.com,闲鱼寄件-寄件费_1809528549_LP00797675612986,支出,8.89,工商银行储蓄卡(8718)&工商银行立减金,交易成功,2026021422001432981437683994	,CN_V1_602473987616790716	,,
2026-02-12 17:11:19,交通出行,成都天府通数字科技有限公司,tft***@cdtft.cn,成都地铁(春熙路2026-02-12 16:36:46--星河2026-02-12 17:11:13),支出,4.00,中信银行信用卡(6963),交易成功,2026021222001432981432706740	,4257253751697408	,,
2026-02-12 15:07:47,交通出行,成都天府通数字科技有限公司,tft***@cdtft.cn,成都地铁(西华大道2026-02-12 14:17:15--春熙路2026-02-12 15:07:40),支出,4.00,中信银行信用卡(6963),交易成功,2026021222001432981431762797	,4257010863785984	,,
2026-02-11 08:08:13,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.79,中信银行信用卡(6963),交易成功,2026021123001432981420530552	,0064N202602110000000014372086693	,,
2026-02-10 08:16:54,充值缴费,中国电信,zhi***@chinatelecom-ec.com.cn,为189****9330充值201.0元，谨防诈骗,支出,200.55,中信银行信用卡(6963)&支付宝随机立减,交易成功,2026021023001432981414778319	,ZY2602100816490013521984	,,
2026-02-10 08:09:31,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.57,中信银行信用卡(6963),交易成功,2026021023001432981412903819	,0064N202602100000000014349183265	,,
2026-02-09 19:00:49,餐饮美食,un**店,tan***@163.com,【U先试用】Uncle Tom未碱化原生纯低脂可可粉5条装无添加糖25g,支出,0.00,,支付成功,2026020923001132981415201390	,T200P3239745816860524985	,,
2026-02-09 18:55:39,餐饮美食,va**店,rod***@valrhona-selection.com,【优惠价】法芙娜原料法国进口耐高温巧克力粒纯可可脂黑巧克力耐烤水滴豆,支出,0.00,,支付成功,2026020923001132981415210259	,T200P3239213127336524985	,,
2026-02-09 18:52:13,交通出行,德阳裕兴公共交通有限责任公司,116***@qq.com,德阳公交-4路-789车(2026-02-09 18:52:12),支出,2.00,中信银行信用卡(6963),交易成功,2026020922001432981412498865	,202602092020812975695859713	,,
2026-02-08 18:16:03,数码电器,上**,338***@qq.com,LG原装进口干衣机烘干机专用抽拉叠衣服连接架,支出,381.22,中信银行信用卡(6963),交易成功,2026020823001132981407376800	,T200P3237104245803524985	,,
2026-02-07 21:15:04,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.48,中信银行信用卡(6963),交易成功,2026020722001432981401308634	,0064N202602070000000014317935238	,,
2026-02-05 16:45:03,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,5.97,中信银行信用卡(6963),交易成功,2026020523001432981450969665	,0003N202602050000000014300404572	,,
2026-02-05 15:39:25,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-苟师傅-02月05日行程,支出,16.20,中信银行信用卡(6963),交易成功,2026020523001432981456253352	,210_202602053971887401166521	,,
2026-02-05 15:05:29,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.25,中信银行信用卡(6963),交易成功,2026020523001432981449051418	,0064N202602050000000014329339848	,,
2026-02-03 07:58:35,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,11.67,中信银行信用卡(6963),交易成功,2026020322001432981442143108	,0064N202602030000000014266780352	,,
2026-02-02 09:29:29,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,9.60,中信银行信用卡(6963),交易成功,2026020222001432981437289665	,0064N202602020000000014284467978	,,
2026-02-01 18:39:45,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,26.60,建设银行信用卡(0796),交易成功,2026020122001432981429455612	,202602011467589589031997442	,,
2026-02-01 18:31:48,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,29.45,建设银行信用卡(0796),交易成功,2026020122001432981434233907	,202602011467587578240716802	,,
2026-01-30 18:49:30,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.65,中信银行信用卡(6963),交易成功,2026013022001432981419473447	,0064N202601300000000014242378936	,,
2026-01-29 20:11:30,美容美发,ro**店,mor***@aliyun.com,【U先试用】Roye若也去屑止痒洗发水植物去屑8ml,支出,0.02,余额宝,交易成功,2026012923001132981418473986	,T200P3215645653829524985	,,
2026-01-29 20:11:30,美容美发,欧莱**店,lrl***@loreal.com,【超市U先】欧莱雅新品超水光精华液体验装返10元券,支出,0.02,余额宝,交易成功,2026012923001132981418488269	,T200P3215645653826524985	,,
2026-01-29 20:11:30,母婴亲子,ba**店,bei***@xier-inc.com,babycare一整夜pro纸尿裤拉拉裤婴儿夜用尿片宝宝尿不湿试用装 等多件,支出,13.45,余额宝,交易成功,2026012923001132981418927562	,T200P3215645653831524985	,,
2026-01-29 20:11:30,日用百货,马应**店,whm***@163.com,U先试用】马应龙湿厕纸湿擦清洁女私处男通用杀菌卫生湿擦1片装,支出,0.02,余额宝,交易成功,2026012923001132981421016064	,T200P3215645653827524985	,,
2026-01-29 20:11:30,美容美发,丸美**店,mar***@126.com,【U先入仓】丸美S肽小红笔眼霜1g*2,支出,0.02,余额宝,交易成功,2026012923001132981421133121	,T200P3215645653828524985	,,
2026-01-29 20:11:30,美容美发,韩束**店,cws***@kans.cn,【U先入仓】韩束377水乳精华次抛套组*3支,支出,0.02,余额宝,交易成功,2026012923001132981421140979	,T200P3215645653830524985	,,
2026-01-29 13:11:04,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,8.20,中信银行信用卡(6963),交易成功,2026012923001432981411085710	,0064N202601290000000014256600891	,,
2026-01-29 11:34:32,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,9.30,中信银行信用卡(6963),交易成功,2026012923001432981413595586	,0064N202601290000000014190246903	,,
2026-01-29 08:13:17,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.40,中信银行信用卡(6963),交易成功,2026012923001432981415761892	,0064N202601290000000014252760772	,,
2026-01-28 08:19:26,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.60,中信银行信用卡(6963),交易成功,2026012822001432981408552375	,0064N202601280000000014183957024	,,
2026-01-27 17:27:26,生活服务,淘天物流科技有限公司,ttw***@service.aliyun.com,淘宝退货-寄件费_1809528549_LP00794818860185,支出,51.88,工商银行储蓄卡(8718),交易成功,2026012722001432981407170293	,CN_V1_602464073805040341	,,
2026-01-27 14:57:28,保险,平安保险,pub***@pingan.com.cn,平安i小神童少儿意外险2023(互联网),支出,67.88,中信银行信用卡(6963)&支付宝随机立减,交易成功,2026012722001432981406906424	,CPC170260127000441710237	,,
2026-01-27 08:29:48,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.50,中信银行信用卡(6963),交易成功,2026012722001432981459035573	,0064N202601270000000014161230661	,,
2026-01-26 08:40:53,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.63,中信银行信用卡(6963),交易成功,2026012622001432981459006672	,0064N202601260000000014148510697	,,
2026-01-25 21:15:36,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.01,中信银行信用卡(6963),交易成功,2026012523001432981457827447	,0064N202601250000000014210320617	,,
2026-01-24 18:12:46,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026012423001432981453182310	,202601241464683691650760706	,,
2026-01-22 19:41:32,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,9.60,中信银行信用卡(6963),交易成功,2026012223001432981441043335	,0064N202601220000000014166744251	,,
2026-01-22 10:15:24,数码电器,gp**店,cha***@goldpeak.com,【优惠价】GP超霸5号7号高性能碳性电池1.5V无汞环保五号七号干电池大全空调电视遥控器鼠标键盘闹钟挂钟耐用,支出,0.00,,支付成功,2026012222001132981442897325	,T200P3199656290343524985	,,
2026-01-22 10:15:24,日用百货,ma**店,crm***@likuai.com,【优惠价】意大利进口Marcato马卡多功能手动压面机家用小型2025新款面条机 等多件,支出,602.17,中信银行信用卡(6963),交易成功,2026012222001132981444164628	,T200P3199656290344524985	,,
2026-01-22 10:15:24,服饰装扮,sk**店,tcs***@skechers.cn,【优惠价】成毅同款斯凯奇开运熊|2026马年限定男女款厚底老爹鞋熊猫运动鞋 等多件,支出,632.78,中信银行信用卡(6963),交易关闭,2026012222001132981444234513	,T200P3199656290352524985	,,
2026-01-22 10:15:24,日用百货,政天**店,jcy***@163.com,2026新款不锈钢电动压面机商用家用全自动免拆刀揉面切面条一体机 等多件,支出,0.00,,支付成功,2026012222001132981444309951	,T200P3199656290348524985	,,
2026-01-22 08:27:55,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.57,中信银行信用卡(6963),交易成功,2026012222001432981439610605	,0064N202601220000000014125298935	,,
2026-01-21 20:44:16,日用百货,ma**店,crm***@likuai.com,【优惠价】意大利进口Marcato马卡多功能手动压面机家用小型2025新款面条机 等多件,支出,644.00,中信银行信用卡(6963),交易关闭,2026012122001132981437618431	,T200P3198970599460524985	,,
2026-01-21 20:33:01,餐饮美食,安琪**店,bak***@angelyeast.com,安琪耐高糖型酵母5g做馒头面包专用干酵母粉家用小包装烘焙发酵粉,支出,3.09,中信银行信用卡(6963),交易成功,2026012122001132981436971133	,T200P3198948567574524985	,,
2026-01-21 20:33:01,日用百货,政天**店,jcy***@163.com,2026新款不锈钢电动压面机商用家用全自动免拆刀揉面切面条一体机 等多件,支出,483.03,建设银行信用卡分期(0796) 3期&建设银行满减,交易关闭,2026012122001132981439221451	,T200P3198948567570524985	,,
2026-01-21 09:02:51,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-李师傅-01月21日行程,支出,7.40,中信银行信用卡(6963)&支付宝打车券,交易成功,2026012122001432981434894304	,210_202601213960957201154008	,,
2026-01-20 18:02:14,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026012022001432981434894121	,202601201463231608535547906	,,
2026-01-16 08:52:26,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,9.80,中信银行信用卡(6963),交易成功,2026011622001432981410738545	,0064N202601160000000014072432887	,,
2026-01-14 09:07:47,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-李师傅-01月14日行程,支出,7.70,中信银行信用卡(6963),交易成功,2026011422001432981401184726	,210_202601143955971001346458	,,
2026-01-13 17:57:25,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.57,建设银行信用卡(0796)&建设银行立减金,交易成功,2026011322001432981455139300	,202601131460693638625452034	,,
2026-01-13 08:59:22,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-张师傅-01月13日行程,支出,8.10,中信银行信用卡(6963),交易成功,2026011323001432981453980018	,210_202601133955321401138928	,,
2026-01-11 18:51:20,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,17.76,建设银行信用卡(0796)&建设银行立减金,交易成功,2026011122001432981446297414	,202601111459968878789398530	,,
2026-01-08 08:01:31,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,9.80,中信银行信用卡(6963),交易成功,2026010822001432981421365761	,0064N202601080000000013905006184	,,
2026-01-07 08:30:36,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,9.90,中信银行信用卡(6963),交易成功,2026010722001432981421364893	,0064N202601070000000013927875010	,,
2026-01-05 11:46:36,充值缴费,中国电信,zhi***@chinatelecom-ec.com.cn,为189****9330充值300.0元，谨防诈骗,支出,299.39,中信银行信用卡(6963)&支付宝随机立减,交易成功,2026010522001432981409819642	,ZY2601051146290084065453	,,
2026-01-05 08:48:06,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,11.25,中信银行信用卡(6963)&支付宝打车券,交易成功,2026010522001432981406265211	,0003N202601050000000013930024972	,,
2026-01-04 18:35:05,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,3.24,建设银行信用卡(0796)&建设银行立减金,交易成功,2026010422001432981405635477	,202601041457441707819884546	,,
2026-01-04 09:46:20,母婴亲子,保姆**店,186***@126.com,【优惠价】保姆鹅 儿童羽绒马甲轻保暖男童女童立领百搭羽绒服马夹冬装,支出,201.00,中信银行信用卡(6963),交易关闭,2026010422001132981404834071	,T200P3162597639325524985	,,
2026-01-04 08:39:19,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,11.75,中信银行信用卡(6963),交易成功,2026010422001432981406256493	,0064N202601040000000013891833429	,,
2026-01-03 18:14:37,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,13.75,建设银行信用卡(0796)&建设银行立减金,交易成功,2026010322001432981403349801	,202601031457074046170652674	,,
2026-01-02 18:07:28,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,7.68,建设银行信用卡(0796)&建设银行立减金,交易成功,2026010222001432981456354466	,202601021456709893781065730	,,
